,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,96,-1_health_support_new_safe,"[('health', 0.022575283903273423), ('support', 0.01861710293031874), ('new', 0.013008799075665947), ('safe', 0.012808462433874188), ('singapore', 0.012051963229688557), ('service', 0.011060714936509638), ('amp', 0.01061171985502972), ('thank', 0.010601534588264716), ('breastfeeding', 0.008788425569128924), ('masks', 0.008318382782278774)]",positive
1,0,60,0_covid19_singapore_support_virus,"[('covid19', 0.028916364845695403), ('singapore', 0.02647016128297067), ('support', 0.02555102999561528), ('virus', 0.01630560463735825), ('help', 0.014893144662120368), ('fund', 0.013116897202453404), ('sending', 0.012318299819020852), ('patients', 0.011935941026385673), ('via', 0.011659464179958582), ('please', 0.011150839932665366)]",positive
2,1,48,1_global_pandemic_covid19_support,"[('global', 0.030042890202242704), ('pandemic', 0.02976212962620442), ('covid19', 0.026027053450767706), ('support', 0.02490463732656558), ('covid19 pandemic', 0.022194357663809453), ('help', 0.021659355125570344), ('health', 0.02131737215636834), ('join', 0.017985440956765665), ('workers', 0.01783934714784844), ('india', 0.01642947237925825)]",positive
3,2,47,2_support_singapore_celebrate_birthday,"[('support', 0.027189171241534773), ('singapore', 0.02088930693631828), ('celebrate', 0.01412526255692374), ('birthday', 0.012687404085780432), ('covid19', 0.010853302160705056), ('amp', 0.010729236132494055), ('get', 0.009985026902526522), ('general', 0.009985026902526522), ('love', 0.009602489439437738), ('need', 0.009134014959126599)]",positive
4,3,37,3_healthcare store_healthcare store 21stcenturysg_shop visit intenz_shop visit,"[('healthcare store', 0.045586124644716945), ('healthcare store 21stcenturysg', 0.045586124644716945), ('shop visit intenz', 0.045586124644716945), ('shop visit', 0.045586124644716945), ('visit intenz', 0.045586124644716945), ('visit intenz healthcare', 0.045586124644716945), ('intenz healthcare store', 0.045586124644716945), ('intenz healthcare', 0.045586124644716945), ('intenz', 0.045586124644716945), ('store 21stcenturysg', 0.045586124644716945)]",positive
5,4,32,4_always_love_support_appreciate,"[('always', 0.035492115492866405), ('love', 0.0321745750048693), ('support', 0.03153509271870317), ('appreciate', 0.03005657575564001), ('happy', 0.021651359274596424), ('take', 0.021076404341902374), ('take care', 0.019108001521397393), ('care', 0.017717665975090554), ('health', 0.016495585597189784), ('time', 0.01580730325642678)]",positive
6,5,29,5_supplements_shop_21stcenturysg_health,"[('supplements', 0.05932206754298499), ('shop', 0.042372905387846424), ('21stcenturysg', 0.03986042050408944), ('health', 0.038836453778368744), ('kids', 0.0377773605529459), ('vitamins', 0.03582956958840042), ('store', 0.03194240443634109), ('store 21stcenturysg', 0.03031675232033201), ('visit intenz', 0.03031675232033201), ('intenz', 0.03031675232033201)]",positive
7,6,26,6_amp_safe_safe amp_home,"[('amp', 0.061514287159632586), ('safe', 0.03374928196862088), ('safe amp', 0.02774809007683852), ('home', 0.025616714095514928), ('stay', 0.024883320255413965), ('stay safe amp', 0.02073881333539448), ('amp support', 0.020222419556608036), ('feeling', 0.01942366305378697), ('support', 0.017986682513630697), ('stay safe', 0.015274102792761703)]",positive
8,7,22,7_thank_webinar_supported_build,"[('thank', 0.025193131387521307), ('webinar', 0.02477645840954208), ('supported', 0.023205261170453455), ('build', 0.021883828154939482), ('delighted', 0.021883828154939482), ('healthcare', 0.01917723620946289), ('innovation', 0.018988224225724916), ('risks covid19', 0.01816374190673044), ('webinar discuss healthcare', 0.01816374190673044), ('disease risks covid19', 0.01816374190673044)]",positive
9,8,21,8_workers_support_frontline_party,"[('workers', 0.04778396557459404), ('support', 0.03286028536144069), ('frontline', 0.02623577461696101), ('party', 0.02563864285969098), ('see', 0.024492773335209727), ('frontline workers', 0.024492773335209727), ('support frontline', 0.022818711637858684), ('workers singapore', 0.02173953917809373), ('worker party', 0.021073632232345797), ('country', 0.01886302714291794)]",positive
10,9,20,9_nurses_staff_doctors_medical,"[('nurses', 0.05119126966167293), ('staff', 0.04582905712291037), ('doctors', 0.044806392213690385), ('medical', 0.04432880675015462), ('power rangers', 0.04300079928833421), ('rangers', 0.04300079928833421), ('power', 0.042078440089752644), ('covid19', 0.03613765431827679), ('ecmo', 0.03303527787938944), ('day', 0.03219493286329139)]",positive
11,10,19,10_fundraising page_please consider_fundraising_supporting fundraising,"[('fundraising page', 0.09123619372449947), ('please consider', 0.09123619372449947), ('fundraising', 0.09123619372449947), ('supporting fundraising', 0.09123619372449947), ('supporting fundraising page', 0.09123619372449947), ('consider', 0.09123619372449947), ('consider donating', 0.09123619372449947), ('please consider donating', 0.09123619372449947), ('meaningful campaign', 0.09123619372449947), ('meaningful', 0.09014090655267319)]",positive
12,11,17,11_circuit breaker_breaker_circuit_enhanced,"[('circuit breaker', 0.07431085864814306), ('breaker', 0.07431085864814306), ('circuit', 0.07349201635494855), ('enhanced', 0.058244167655582844), ('measures', 0.05741551833021381), ('morning exercise', 0.054442175485451764), ('park', 0.054442175485451764), ('exercise', 0.054442175485451764), ('vigilant always', 0.054442175485451764), ('covid19 measures morning', 0.054442175485451764)]",positive
13,12,15,12_frontline_love_appreciation_care,"[('frontline', 0.08253531943556418), ('love', 0.061715643870550015), ('appreciation', 0.05596023605040474), ('care', 0.04369516911294574), ('last week', 0.04094734234470037), ('support ripe', 0.04094734234470037), ('frontline staffs', 0.04094734234470037), ('love care frontline', 0.04094734234470037), ('last week generous', 0.04094734234470037), ('ripe juices', 0.04094734234470037)]",positive
14,13,14,13_covid19_measures singapore covid_covid19 measures singapore_singapore covid,"[('covid19', 0.10652752012083333), ('measures singapore covid', 0.07167746613067136), ('covid19 measures singapore', 0.07167746613067136), ('singapore covid', 0.07167746613067136), ('singapore covid covid19', 0.07167746613067136), ('covid covid19', 0.07167746613067136), ('measures singapore', 0.07167746613067136), ('singapore', 0.06834436291121523), ('tamilcube', 0.05949283581045042), ('covid19 measures', 0.056974008442622216)]",positive
15,14,14,14_mental health_mental_workplace_health,"[('mental health', 0.05067094900263718), ('mental', 0.04686093401902057), ('workplace', 0.03731823337200981), ('health', 0.03674016792101362), ('workers', 0.03162429721664042), ('support', 0.03147669439885372), ('needed', 0.02929391390016971), ('psychologicalimpact covid19 read', 0.02929391390016971), ('social workplace', 0.02929391390016971), ('mitigate psychologicalimpact', 0.02929391390016971)]",positive
