,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,249,-1_health_support_services_health services,"[('health', 0.014346322411951726), ('support', 0.012934853302611248), ('services', 0.0073961055701745925), ('health services', 0.007034306811577827), ('covid19', 0.007023655396591717), ('care', 0.006341333111378775), ('service', 0.006082893594397084), ('hospital', 0.006020837732900057), ('one', 0.005646650873065539), ('dont', 0.005553846960838464)]",negative
1,0,120,0_amp_support_health_people,"[('amp', 0.023605885106773562), ('support', 0.01657495188590323), ('health', 0.012725911876403618), ('people', 0.009278466151521454), ('workers', 0.007785943518325317), ('care', 0.006889706137696818), ('get', 0.006887206953388952), ('child', 0.0065672964660381215), ('frontline', 0.0065219395762372975), ('services', 0.00616271045516933)]",negative
2,1,103,1_health_public_health services_services,"[('health', 0.023113750273820156), ('public', 0.014611611137720316), ('health services', 0.013431896942342465), ('services', 0.013340436375217604), ('public health', 0.012007576311722938), ('alcohol', 0.011461673066551463), ('nhi', 0.010449812624652197), ('government', 0.010182539891681877), ('covid19', 0.010085780990657234), ('support', 0.008420078383124118)]",negative
3,2,67,2_mental_mental health_health_support,"[('mental', 0.04733672091100593), ('mental health', 0.045135941051193555), ('health', 0.02498447225591017), ('support', 0.017342164079332863), ('need', 0.010867015985212562), ('violence', 0.010792645618127263), ('limitations', 0.010779244720029713), ('mental health services', 0.010556814820035232), ('social', 0.009752010113577056), ('depression', 0.009652581673241033)]",negative
4,3,61,3_africa_south_health_coronavirus,"[('africa', 0.023978598353764594), ('south', 0.022917797466342215), ('health', 0.014449965045346052), ('coronavirus', 0.014381168478923772), ('health services', 0.013855355550997301), ('sa', 0.01352129865503742), ('services', 0.013378761245243577), ('south africa', 0.012760794551694904), ('poor', 0.012068482218894946), ('african', 0.010391952667032378)]",negative
5,4,60,4_protest_protests_black_anc,"[('protest', 0.02327626748673225), ('protests', 0.016077517511741413), ('black', 0.013495779687034422), ('anc', 0.012895464955308373), ('sabc', 0.012405433005392178), ('white', 0.011590215338701103), ('support', 0.011177120487276987), ('supporters', 0.01082920217568871), ('eff', 0.00966235155292104), ('whites', 0.009466893167371947)]",negative
6,5,59,5_banks_ukmortgageprisoners_2008_stop,"[('banks', 0.05386791320531028), ('ukmortgageprisoners', 0.04058791485520822), ('2008', 0.031506848831180635), ('stop', 0.030781664688748735), ('repossessions', 0.027878635631367134), ('mortgages', 0.027878635631367134), ('crisis', 0.027680512692951457), ('equity', 0.02703667647425526), ('negative equity', 0.02445337744264705), ('repossess', 0.02357169797872032)]",negative
7,6,39,6_lockdown_department_unless_defence told,"[('lockdown', 0.03636259892195703), ('department', 0.021773830810720787), ('unless', 0.0209163255987673), ('defence told', 0.020890354436751798), ('homes unless work', 0.020890354436751798), ('chemist', 0.020890354436751798), ('chemist health', 0.020890354436751798), ('work front line', 0.020890354436751798), ('defence', 0.020890354436751798), ('complete sa lockdown', 0.020890354436751798)]",negative
8,7,36,7_believe_covid19_dont_dont believe,"[('believe', 0.028331638388525072), ('covid19', 0.023073725222606114), ('dont', 0.023023694208546306), ('dont believe', 0.020767758460010298), ('vaccine', 0.019023129017543938), ('dreams', 0.018698696745476123), ('people', 0.017869326249711923), ('im', 0.016908238350157756), ('supporting', 0.016307729907495235), ('trump', 0.015842725492650037)]",negative
9,8,33,8_chiefs_team_supporters_appreciate,"[('chiefs', 0.030947759937443222), ('team', 0.028619929077707294), ('supporters', 0.02524363142951078), ('appreciate', 0.01862803055028383), ('supporter', 0.018192155110321982), ('stadium', 0.01639012558217044), ('kaizer chiefs', 0.01639012558217044), ('kaizer', 0.01639012558217044), ('good', 0.016186280493024847), ('united', 0.01596688332881471)]",negative
