,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,94,-1_support_health_amp_covid19,"[('support', 0.024731370388844123), ('health', 0.021306392353182914), ('amp', 0.017725756126687683), ('covid19', 0.014515827040908216), ('would', 0.011893056142845203), ('cuban', 0.011317762256727247), ('health specialists', 0.010717897780749998), ('cuban health', 0.010717897780749998), ('cuban health specialists', 0.010717897780749998), ('specialists', 0.010563244772945433)]",neutral
1,0,44,0_mental_mental health_health_support,"[('mental', 0.05157621974335313), ('mental health', 0.05040663096041512), ('health', 0.0344263621787205), ('support', 0.030498122308653803), ('child', 0.015945988225491363), ('need', 0.014740532974363655), ('may', 0.012549763107912584), ('work', 0.011856910299217), ('ur child', 0.011640507844000357), ('healthcare', 0.011165563613956203)]",neutral
2,1,33,1_health_health services_care_services,"[('health', 0.042799500900308034), ('health services', 0.0254700822906413), ('care', 0.024271097257829215), ('services', 0.023156841022018516), ('health care', 0.021862950905491774), ('support', 0.021011694232953078), ('public', 0.020301935733606256), ('healthcare', 0.01943373413821491), ('public health', 0.018376330979155954), ('hospitals', 0.01717353233338296)]",neutral
3,2,28,2_year_covid19_health_home,"[('year', 0.02865561537980169), ('covid19', 0.02715351645463608), ('health', 0.02547013612899687), ('home', 0.024163509197060555), ('covid', 0.023531715441301174), ('support', 0.022375819490420047), ('services', 0.021655415494360064), ('stay home', 0.01808553478587626), ('mask', 0.01808553478587626), ('health services', 0.01732267097948378)]",neutral
4,3,22,3_support_income_end_social,"[('support', 0.02749356264022017), ('income', 0.019882855013044088), ('end', 0.015404716519281525), ('social', 0.01480704593643615), ('basic', 0.01461403110622557), ('grant', 0.01461403110622557), ('worker', 0.014290620516256566), ('distress', 0.012984717087244248), ('cares', 0.012984717087244248), ('everyone', 0.011553537389461145)]",neutral
5,4,16,4_imsyser_support_great_thoughts,"[('imsyser', 0.04568658268159838), ('support', 0.03845165096897425), ('great', 0.035125153510349616), ('thoughts', 0.031079025797088336), ('dont', 0.030349757423844596), ('thanks', 0.027357302708872166), ('dont let negative', 0.025823369171162135), ('recovery support', 0.025823369171162135), ('recovery support health', 0.025823369171162135), ('dont let', 0.025823369171162135)]",neutral
6,5,15,5_vaccines_vaccinated_vaccination_programme,"[('vaccines', 0.03293586194226945), ('vaccinated', 0.03131514342934754), ('vaccination', 0.027931315966393845), ('programme', 0.026866737622522226), ('implementation', 0.026866737622522226), ('effort', 0.026866737622522226), ('governments', 0.025867795208889686), ('one', 0.02234505277311508), ('better', 0.0219572412948463), ('medical aids', 0.021116560111579027)]",neutral
7,6,13,6_voice_lockdown_delivery needed_matteralso,"[('voice', 0.0858402335868688), ('lockdown', 0.036598239008907234), ('delivery needed', 0.03530668739448638), ('matteralso', 0.03530668739448638), ('lockdown measures covid19sa', 0.03530668739448638), ('local civic servicewhat', 0.03530668739448638), ('lockdown measures', 0.03530668739448638), ('health service delivery', 0.03530668739448638), ('citizens matteralso', 0.03530668739448638), ('citizens matteralso voice', 0.03530668739448638)]",neutral
8,7,12,7_coronavirus_delivery_support_services bringing,"[('coronavirus', 0.050749421514158365), ('delivery', 0.03634014558074446), ('support', 0.02447563317571925), ('services bringing', 0.024403184253459033), ('stopthespread coronacrisis coronavirusinsouthafrica', 0.024403184253459033), ('coronacrisis', 0.024403184253459033), ('stores open', 0.024403184253459033), ('coronacrisis coronavirusinsouthafrica covid19', 0.024403184253459033), ('third party delivery', 0.024403184253459033), ('bringing shift delivery', 0.024403184253459033)]",neutral
9,8,12,8_health_support_immediately_everyones safety,"[('health', 0.05201785494037438), ('support', 0.03456174574813103), ('immediately', 0.02445587377277093), ('everyones safety', 0.02445587377277093), ('must remain priority', 0.02445587377277093), ('health must remain', 0.02445587377277093), ('health must', 0.02445587377277093), ('leaders working', 0.02445587377277093), ('leaders working support', 0.02445587377277093), ('support groom arent', 0.02445587377277093)]",neutral
10,9,12,9_anc_evidence_support_still,"[('anc', 0.03735179758440249), ('evidence', 0.033949423843540154), ('support', 0.03087577643362709), ('still', 0.030427006583481183), ('nhi', 0.028347698892798995), ('portfolios still existthe', 0.025187222301762936), ('super', 0.025187222301762936), ('covid19 nhi', 0.025187222301762936), ('covid19 nhi planning', 0.025187222301762936), ('da', 0.025187222301762936)]",neutral
11,10,11,10_hiv_health_services_sexual reproductive,"[('hiv', 0.05032977913069109), ('health', 0.03662923952051362), ('services', 0.026134149153420896), ('sexual reproductive', 0.026131743138079047), ('sexual', 0.026131743138079047), ('reproductive', 0.026131743138079047), ('reproductive health', 0.026131743138079047), ('sexual reproductive health', 0.026131743138079047), ('women', 0.02400854742825074), ('health services', 0.02395400596381741)]",neutral
