,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,476,-1_support_health_thank_appreciate,"[('support', 0.013171167657193329), ('health', 0.012699100064342866), ('thank', 0.006815375823664553), ('appreciate', 0.006711480948415359), ('services', 0.006554827221126299), ('care', 0.006354761525568408), ('love', 0.005950798308183928), ('amp', 0.0058901479586227256), ('workers', 0.00539181915450579), ('covid19', 0.0051357906381815374)]",positive
1,0,1224,0_support_health_covid19_mental,"[('support', 0.014668814672676172), ('health', 0.013411942422080344), ('covid19', 0.0094731522383735), ('mental', 0.008594682002741738), ('mental health', 0.008421888056869185), ('amp', 0.006306735815171487), ('care', 0.005639582212419744), ('workers', 0.005398727040724148), ('thank', 0.004393689961636263), ('healthcare', 0.004190870624215444)]",positive
2,1,83,1_quality health_quality_nhi_hi,"[('quality health', 0.04744878960342446), ('quality', 0.04611838424772198), ('nhi', 0.04057368412289449), ('hi', 0.03932388773025698), ('quality health services', 0.03409811747610867), ('improve', 0.032899664039288276), ('services', 0.03272732679708059), ('health services', 0.03060449528221561), ('hi nhi', 0.030039754682862886), ('health', 0.02787784316875363)]",positive
3,2,63,2_vaccination_vaccine_rollout_covid19 vaccination,"[('vaccination', 0.04779109092022929), ('vaccine', 0.025167165154735417), ('rollout', 0.018986273376570887), ('covid19 vaccination', 0.01866828895931575), ('vaccine rollout', 0.015784328184297647), ('covid19 vaccine', 0.0149346311674526), ('covid19', 0.014820130775396623), ('district', 0.014726553054627034), ('ichoosevaccination', 0.014582353781885498), ('programme', 0.013518103867329045)]",positive
4,3,31,3_ramaphosa_economic support_goods_economic,"[('ramaphosa', 0.06706951906160602), ('economic support', 0.02820691122210784), ('goods', 0.02820691122210784), ('economic', 0.025186899680260454), ('supported', 0.023161664907331625), ('president', 0.021996560301077328), ('covid19', 0.021336909201576718), ('lockdown prepare', 0.019983480992881518), ('time lockdown prepare', 0.019983480992881518), ('ramaphosa uses', 0.019983480992881518)]",positive
5,4,30,4_imsyser health_imsyser_health_team,"[('imsyser health', 0.04814797233935754), ('imsyser', 0.044020336766941934), ('health', 0.032869893311344635), ('team', 0.026882561384587954), ('people health inspiring', 0.02676302387826885), ('educating people health', 0.02676302387826885), ('call 0860103859', 0.02676302387826885), ('passionate educating', 0.02676302387826885), ('passionate educating people', 0.02676302387826885), ('health professionals passionate', 0.02676302387826885)]",positive
6,5,28,5_amp_amp amp_sectors_stayhome,"[('amp', 0.07883084603802631), ('amp amp', 0.02361748690991845), ('sectors', 0.021406035895607245), ('stayhome', 0.020040803002152545), ('mining', 0.018806283918116253), ('safe amp', 0.0181279717946657), ('stay safe amp', 0.016732055383436445), ('stay', 0.01640353768366757), ('support', 0.01567871270793562), ('continued', 0.015600470558667267)]",positive
7,6,27,6_sexual_reproductive health_reproductive_sexual reproductive health,"[('sexual', 0.05341579603194308), ('reproductive health', 0.042245004075854985), ('reproductive', 0.042245004075854985), ('sexual reproductive health', 0.041989762004898394), ('sexual reproductive', 0.041989762004898394), ('reproductive health services', 0.035188335266753086), ('health services', 0.02749771291442108), ('services', 0.026269950501579972), ('health', 0.02097590336366937), ('stigma', 0.020238824187020783)]",positive
8,7,26,7_amp safety_health amp safety_safety_health amp,"[('amp safety', 0.04777721138375988), ('health amp safety', 0.04777721138375988), ('safety', 0.045321433529688614), ('health amp', 0.04084589872369179), ('amp', 0.03488711390194207), ('industry', 0.028931483345167305), ('open', 0.027786671546199647), ('unusual classes resumed', 0.026633106286626768), ('classes resumed strict', 0.026633106286626768), ('industry registrations', 0.026633106286626768)]",positive
9,8,24,8_southafrica_500_patients_medical,"[('southafrica', 0.02900107494450207), ('500', 0.028141090105327206), ('patients', 0.0226151945857976), ('medical', 0.021214921087266206), ('water', 0.020576763737453412), ('chris hani baragwanath', 0.020536311788084568), ('tents', 0.020536311788084568), ('hani baragwanath hospital', 0.020536311788084568), ('hani baragwanath', 0.020536311788084568), ('hani', 0.020536311788084568)]",positive
10,9,23,9_patients_masamedpark_steve biko_steve,"[('patients', 0.040401102827753), ('masamedpark', 0.029568438471962534), ('steve biko', 0.027865183342346396), ('steve', 0.027865183342346396), ('biko', 0.027865183342346396), ('us', 0.02745315761905343), ('donations', 0.02524369310553805), ('appeal assistance', 0.024467358597964756), ('providing medical care', 0.024467358597964756), ('continue supporting us', 0.024467358597964756)]",positive
11,10,22,10_services_financial year_department financial_pressing covid19,"[('services', 0.05129192235700412), ('financial year', 0.04635432159500064), ('department financial', 0.043145131613765826), ('pressing covid19', 0.043145131613765826), ('took back seat', 0.043145131613765826), ('year recovery', 0.043145131613765826), ('health services services', 0.043145131613765826), ('services took back', 0.043145131613765826), ('took back', 0.043145131613765826), ('services took', 0.043145131613765826)]",positive
12,11,20,11_military_military health_health service_service,"[('military', 0.07930062891372862), ('military health', 0.06139112939381634), ('health service', 0.04667719623295342), ('service', 0.04545397057823016), ('military health services', 0.03480013039824994), ('military health service', 0.03367018115217515), ('army', 0.03274718717294142), ('health', 0.03164949467800014), ('services', 0.030409659642724594), ('health services', 0.030332972510383534)]",positive
13,12,20,12_diagnostic testing_diagnostic_risk_testing,"[('diagnostic testing', 0.04456629470418939), ('diagnostic', 0.04260687518756001), ('risk', 0.03319997082336477), ('testing', 0.031491968680635175), ('amp', 0.025839983690067653), ('diagnostic testing diagnostic', 0.024874319221972092), ('testing influenza consultations', 0.024874319221972092), ('consultations healthcare professionals', 0.024874319221972092), ('covers', 0.024874319221972092), ('healthcare professionals defined', 0.024874319221972092)]",positive
14,13,20,13_capetown_metalwindows_lockdown covid19_coworking,"[('capetown', 0.08464992973433962), ('metalwindows', 0.0811145299347296), ('lockdown covid19', 0.06541416549995342), ('coworking', 0.0625089610156294), ('supportlocal', 0.05857213816300147), ('communityovercompetition', 0.05804403522879873), ('steelwindows', 0.055727536490624584), ('steel', 0.052374833299600264), ('coworkingspace', 0.05108357511640586), ('supportlocal communityovercompetition', 0.05108357511640586)]",positive
15,14,20,14_health safety_safety_health safety protocols_provide safe,"[('health safety', 0.05203995409913813), ('safety', 0.04782897186022466), ('health safety protocols', 0.04019895301846693), ('provide safe', 0.04019895301846693), ('implemented enhanced health', 0.04019895301846693), ('implemented enhanced', 0.04019895301846693), ('implemented', 0.04019895301846693), ('enhanced health safety', 0.04019895301846693), ('order provide safe', 0.04019895301846693), ('enhanced health', 0.039349323017741605)]",positive
