,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,121,-1_health_support_healthcare_amp,"[('health', 0.028594040393130266), ('support', 0.020509448714073526), ('healthcare', 0.013949574329054706), ('amp', 0.013045865011986088), ('services', 0.010595092233745272), ('covid19', 0.009571194421718665), ('supporting', 0.009353606559450873), ('new', 0.008977613517068841), ('health services', 0.0080619278158321), ('wha75', 0.007562304213806483)]",positive
1,0,47,0_covid19_support_health_amp,"[('covid19', 0.03495951576145965), ('support', 0.03018484174582677), ('health', 0.02604514632789503), ('amp', 0.023337679467290574), ('thank', 0.017026972659654777), ('work', 0.014096791808645863), ('must', 0.012541416844155698), ('covid19 conflict', 0.012169038104459639), ('today', 0.011575490441940442), ('people', 0.011427311758365631)]",positive
2,1,45,1_health_support_preparedness_global,"[('health', 0.04310666157500978), ('support', 0.028279622801713054), ('preparedness', 0.025307981553663726), ('global', 0.021629891991537243), ('global health', 0.019546917411331455), ('states', 0.01799886778099081), ('member states', 0.017727107366436394), ('member', 0.016871987702442484), ('universal health', 0.01652978533846754), ('universal', 0.015811954619471564)]",positive
3,2,35,2_amp_health_support_working4health,"[('amp', 0.05361739403270636), ('health', 0.03723234161806969), ('support', 0.018409626021080365), ('working4health', 0.01835640554640188), ('wha75', 0.018253583646071582), ('health amp', 0.0165237439202703), ('care', 0.0161446092357474), ('workers', 0.0151688599466436), ('digital', 0.015050786661761668), ('work', 0.014969908245361443)]",positive
4,3,33,3_mental health_mental_health_psychosocial,"[('mental health', 0.060899336824189756), ('mental', 0.06033749069747721), ('health', 0.04054537662951416), ('psychosocial', 0.038900476665938315), ('psychosocial support', 0.038900476665938315), ('support', 0.033888790950424956), ('amp', 0.024379724394875166), ('mental health amp', 0.023694360256616132), ('amp psychosocial support', 0.022093998793945118), ('health psychosocial support', 0.022093998793945118)]",positive
5,4,22,4_tools_covid19_medical_covid19 medical,"[('tools', 0.05991661797297667), ('covid19', 0.05175444478645909), ('medical', 0.03702703950988899), ('covid19 medical', 0.03461995802219028), ('covid19 medical tools', 0.03461995802219028), ('medical tools', 0.03461995802219028), ('tripswaiver', 0.03396150328622202), ('support', 0.028230660823121142), ('tests', 0.028149048672620455), ('vaccines', 0.027938438301480486)]",positive
6,5,21,5_ukraine_amp_support_family,"[('ukraine', 0.03519447042864055), ('amp', 0.03185026430767761), ('support', 0.03047139183346936), ('family', 0.029655513893496556), ('health', 0.02743847641591225), ('mental health', 0.02610138562925446), ('mental', 0.025860579026385142), ('aid', 0.02582580665165562), ('needs', 0.023924059155342507), ('help', 0.023247417070169158)]",positive
7,6,16,6_health_access_health services_services,"[('health', 0.04318865925284073), ('access', 0.023701711084834813), ('health services', 0.022623937159912514), ('services', 0.02162376555588056), ('eu', 0.021415250239882035), ('amp', 0.02110858668061699), ('vaccine', 0.020745918413577313), ('financed', 0.017885912500965603), ('government', 0.017421551919092677), ('vaccination', 0.01666499489889925)]",positive
8,7,13,7_access_health_products_peace,"[('access', 0.0477205983520701), ('health', 0.04505863935652212), ('products', 0.043213409035179666), ('peace', 0.04112006875773937), ('school', 0.03711746391237863), ('equitable access', 0.0296939711299029), ('equitable', 0.0296939711299029), ('youth4health', 0.0296939711299029), ('safe', 0.029035019658437602), ('ensure', 0.02684240054275256)]",positive
9,8,11,8_discussed_minister_ukraine_health,"[('discussed', 0.06552460879125563), ('minister', 0.05584419170495827), ('ukraine', 0.055313179768692995), ('health', 0.04704383780399928), ('support discussed', 0.04601893715833368), ('strong support discussed', 0.04601893715833368), ('strong support', 0.04248453559434611), ('support', 0.039509399682717855), ('strong', 0.038284405768513954), ('thank foreign', 0.03815871427282212)]",positive
