,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,5859,-1_health_support_service_health service,"[('health', 0.004391335640926739), ('support', 0.0035813768880787406), ('service', 0.003553992501398696), ('health service', 0.0034694327768373463), ('people', 0.003221306633764253), ('mental', 0.003183990822391667), ('mental health', 0.0030742925691742582), ('amp', 0.002816517717891605), ('services', 0.002702954687236477), ('nhs', 0.002455932441186177)]",negative
1,0,1656,0_mental_mental health_health_mental health services,"[('mental', 0.008754215302882493), ('mental health', 0.008684052468804014), ('health', 0.006436480710369742), ('mental health services', 0.006352930409979241), ('health services', 0.0055804081044224674), ('services', 0.0055084494812703685), ('service', 0.004408101858279673), ('health service', 0.0042431619978810725), ('support', 0.003599157742753201), ('people', 0.0031820043145338235)]",negative
2,1,1097,1_amp_nurses_strike_workers,"[('amp', 0.009625189792894284), ('nurses', 0.009130598650188225), ('strike', 0.007985557474916955), ('workers', 0.006877414122295499), ('pay', 0.005773117689927766), ('nurse', 0.0052579387720869284), ('support', 0.004914271335322642), ('teachers', 0.0047871047587138655), ('rail', 0.00442565501535844), ('unions', 0.003195990085627125)]",negative
3,2,430,2_children_schools_school_parents,"[('children', 0.011861150061266198), ('schools', 0.01098255136868183), ('school', 0.010605030389524341), ('parents', 0.00904433469881981), ('mental', 0.0077410789895668835), ('mental health', 0.00757799623840332), ('young', 0.007438069216465684), ('child', 0.006103835919769375), ('students', 0.005550870539321663), ('young people', 0.005544928042515923)]",negative
4,3,257,3_scotland_snp_scottish_devolved,"[('scotland', 0.02426864445949883), ('snp', 0.01983790401698459), ('scottish', 0.015862701708250545), ('devolved', 0.008393167211441893), ('scotlands', 0.007400808106145013), ('education', 0.007250494546238793), ('service', 0.006969119093674022), ('health service', 0.006910738451666274), ('health', 0.005276415755417561), ('scotlands health', 0.005060400489765958)]",negative
5,4,225,4_ireland_irish_health service_service,"[('ireland', 0.023577011473238697), ('irish', 0.021084096771275176), ('health service', 0.00953613019735795), ('service', 0.009253532174792472), ('dublin', 0.007300514939850343), ('northern', 0.0066677094758185946), ('irish health', 0.006221096539722379), ('health', 0.006002547417698117), ('irish health service', 0.005570707870320131), ('northern ireland', 0.005160760518196288)]",negative
6,5,224,5_donate_raise_please_donation,"[('donate', 0.01331839341335863), ('raise', 0.011114307940662538), ('please', 0.010707483718563011), ('donation', 0.008186116556274192), ('help', 0.006803885175878406), ('charity', 0.006219685353275437), ('donations', 0.006063601574445494), ('awareness', 0.005628289516820629), ('food', 0.005561033673093342), ('support', 0.005515175881203898)]",negative
7,6,184,6_football_fans_players_supporters,"[('football', 0.014068655961398448), ('fans', 0.012380953808588774), ('players', 0.011387035892954167), ('supporters', 0.009212574813026276), ('club', 0.008912903243758926), ('league', 0.008389691396827291), ('celtic', 0.0056183384830319665), ('supporter', 0.005581399767880254), ('mental health', 0.00526075372970881), ('mental', 0.005091127688590464)]",negative
8,7,179,7_lockdown_lockdowns_virus_businesses,"[('lockdown', 0.02373128178419996), ('lockdowns', 0.01067651916517398), ('virus', 0.005431374579459988), ('businesses', 0.004993272530316919), ('point', 0.0045588366133788175), ('government', 0.004375171196035158), ('support', 0.003976127802336656), ('never', 0.003957887203467659), ('another', 0.003950090603243627), ('economy', 0.003856135045012575)]",negative
9,8,177,8_protest_protests_police_blm,"[('protest', 0.029122219478747446), ('protests', 0.016697319723399755), ('police', 0.007507621771429934), ('blm', 0.006963000954525674), ('protesting', 0.0065696217352880035), ('right protest', 0.006229171486283486), ('black', 0.00554645519816926), ('peaceful', 0.00496643909332503), ('glasgow', 0.004708589550801064), ('right', 0.004678426616226525)]",negative
10,9,139,9_student nurses_student_write student nurses_debt abolish future,"[('student nurses', 0.10706281569791004), ('student', 0.09832569417019402), ('write student nurses', 0.07225431515465423), ('debt abolish future', 0.07225431515465423), ('nurses debt abolish', 0.07225431515465423), ('nurses write', 0.07225431515465423), ('debt abolish', 0.07225431515465423), ('nurses write student', 0.07225431515465423), ('write student', 0.07225431515465423), ('abolish future', 0.07225431515465423)]",negative
11,10,133,10_vaccine_apartheid_flu_vaccines,"[('vaccine', 0.034527723540787814), ('apartheid', 0.010118896039048616), ('flu', 0.009965262494826122), ('vaccines', 0.009074028253806057), ('vaccine passports', 0.008221603031727), ('covid19 vaccine', 0.00787424281978424), ('passports', 0.007494181362466402), ('uk', 0.00574127678450313), ('covid', 0.005460939997252578), ('think', 0.005394073774947976)]",negative
12,11,110,11_mask_masks_wearing_wear,"[('mask', 0.0378443343764992), ('masks', 0.03185172971513193), ('wearing', 0.02107184461890089), ('wear', 0.01673304303861463), ('wear mask', 0.010890318961864208), ('wearing mask', 0.010816041122150559), ('face', 0.009118888068669532), ('face mask', 0.00877611395554758), ('wear masks', 0.008176606146975489), ('mask wearing', 0.006949254237540246)]",negative
13,12,105,12_brexit_eu_ukraine_vaccine,"[('brexit', 0.021111210875125224), ('eu', 0.01692141967721673), ('ukraine', 0.012458362434041123), ('vaccine', 0.007905598878608179), ('support ukraine', 0.007278766693653537), ('deliver', 0.006620053230072829), ('boris', 0.006304813488855119), ('delivered', 0.0062266211768603735), ('lied', 0.006037970015656717), ('nhs renationalised', 0.005835579438565053)]",negative
14,13,75,13_trans_women_gender_conversion therapy,"[('trans', 0.025387201890638585), ('women', 0.022198182125495576), ('gender', 0.013071555161221186), ('conversion therapy', 0.011199134181197253), ('conversion', 0.010840278591973692), ('transgender', 0.009787289556069695), ('trans people', 0.009252659445946734), ('female', 0.008397455535408173), ('lgbt', 0.008332767328125212), ('therapy', 0.007909574016940426)]",negative
15,14,68,14_staff_nhs_nhs staff_doctors,"[('staff', 0.015555142855330295), ('nhs', 0.014901268093073334), ('nhs staff', 0.014206399768642656), ('doctors', 0.012628979868884636), ('thousands', 0.012540581196669964), ('nhsheroes coronavirus', 0.011749361386486813), ('make keep', 0.011749361386486813), ('us safe covid19', 0.011749361386486813), ('horrific nightmare', 0.011749361386486813), ('covid19 nhsheroes coronavirus', 0.011749361386486813)]",negative
16,15,65,15_proper_give frontline_workers proper pay_frontline workers proper,"[('proper', 0.1042780090385599), ('give frontline', 0.07433674788118773), ('workers proper pay', 0.07433674788118773), ('frontline workers proper', 0.07433674788118773), ('give frontline workers', 0.07433674788118773), ('pay proper', 0.07433674788118773), ('pay proper support', 0.07433674788118773), ('thunderclapforcarers', 0.07433674788118773), ('proper pay proper', 0.07433674788118773), ('proper support deserve', 0.07433674788118773)]",negative
17,16,60,16_resign_cummings_lockdown rules_rules,"[('resign', 0.03644329382096563), ('cummings', 0.03216973874356572), ('lockdown rules', 0.01106006338809857), ('rules', 0.010553816078232175), ('party', 0.010493769088112762), ('break lockdown', 0.009667932366361529), ('pm', 0.009573691978496878), ('dominic cummings', 0.009381713055208088), ('lockdown', 0.009334990302497032), ('dominic', 0.009031594849611515)]",negative
18,17,53,17_virus_deaths_serious_health services,"[('virus', 0.025187318525729686), ('deaths', 0.010206841079682925), ('serious', 0.007150229580432168), ('health services', 0.007045696082805641), ('excess deaths', 0.00670915364942591), ('service', 0.00654469680422561), ('health service', 0.0065084140581105855), ('rate', 0.0064760329671652034), ('services', 0.006459597995647735), ('actions', 0.006368651034189868)]",negative
19,18,51,18_maternity_pregnant_perinatal_baby,"[('maternity', 0.023251744792985106), ('pregnant', 0.023072629383499823), ('perinatal', 0.01734104289300569), ('baby', 0.01717224447146444), ('pregnant mums', 0.0125783321748263), ('women', 0.012396227136021214), ('midwives', 0.011658757391690658), ('mums', 0.01021624180139796), ('parents', 0.0098083875994737), ('midwife', 0.009392058359459263)]",negative
