,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1283,-1_health_service_support_health service,"[('health', 0.008625309605408058), ('service', 0.007469730567349435), ('support', 0.007296930373722089), ('health service', 0.007200724428321429), ('need', 0.004916308375943007), ('services', 0.004632932971694622), ('public', 0.004564692193328198), ('people', 0.004516229162516644), ('care', 0.004340945088906518), ('amp', 0.0042313681119274995)]",neutral
1,0,940,0_mental_mental health_health_support,"[('mental', 0.02171335416978898), ('mental health', 0.02143750398088378), ('health', 0.01387267929935265), ('support', 0.010323470134060795), ('mental health services', 0.0074767631088295105), ('health support', 0.007004299467191929), ('mental health support', 0.006999286490388418), ('services', 0.00688044190134933), ('people', 0.006177560815448438), ('health services', 0.00583610512926329)]",neutral
2,1,276,1_nurses_nurse_support_teachers,"[('nurses', 0.022534486065060765), ('nurse', 0.013890225495571772), ('support', 0.010262021521116355), ('teachers', 0.008364802599914428), ('nursing', 0.006978895562614679), ('im', 0.006402742376282216), ('strike', 0.005678478436291539), ('students', 0.005658143933866751), ('need', 0.005258555559496894), ('doctors', 0.005227477335177656)]",neutral
3,2,196,2_lockdown_covid19_covid_health,"[('lockdown', 0.02003960226389714), ('covid19', 0.011990639928987329), ('covid', 0.011414037311621444), ('health', 0.010582497331996352), ('mental', 0.009794348407571828), ('people', 0.00969116302488238), ('mental health', 0.009437426374800393), ('support', 0.00877121918479651), ('service', 0.00781606338931816), ('health service', 0.007402600475593441)]",neutral
4,3,166,3_service_health service_nhs_national health,"[('service', 0.02445610189043325), ('health service', 0.02433221345573159), ('nhs', 0.017687646540668338), ('national health', 0.016010707728252357), ('national', 0.015633043842091545), ('national health service', 0.015125396516834866), ('health', 0.014595378411260438), ('free', 0.014023475906878234), ('uk', 0.007721543783420335), ('country', 0.006671473376666154)]",neutral
5,4,135,4_amp_amp support_support_staff,"[('amp', 0.041723469397020777), ('amp support', 0.008663350186023792), ('support', 0.007724124845222913), ('staff', 0.006830660811356055), ('health', 0.005716344993240451), ('stay', 0.00532685673304705), ('get', 0.005064841858338624), ('set', 0.004856822281552172), ('support amp', 0.004720500879257159), ('medical', 0.004550752560616378)]",neutral
6,5,70,5_workers_rail_nurses_pay,"[('workers', 0.020469446881511692), ('rail', 0.01766084106355476), ('nurses', 0.017464307573541765), ('pay', 0.016706187018597544), ('rail workers', 0.014869309504170012), ('wage', 0.011777303590709614), ('rise', 0.011247172734472984), ('salaries', 0.009648234421022122), ('support', 0.00963828854988006), ('pay rise', 0.009419115233895872)]",neutral
7,6,67,6_ireland_irish_service_health service,"[('ireland', 0.04077387928641614), ('irish', 0.02402614083790415), ('service', 0.023067484085662084), ('health service', 0.0201030518666205), ('health', 0.014428013550952091), ('northern ireland', 0.009402795546493424), ('continue', 0.008789311994454702), ('northern', 0.008663578773808293), ('gfa', 0.008432622616004496), ('system', 0.00816274327559389)]",neutral
8,7,62,7_business_businesses_public_support businesses,"[('business', 0.0183878962261917), ('businesses', 0.016389932427502543), ('public', 0.012799409980077073), ('support businesses', 0.011160092660584328), ('people', 0.011003931947009554), ('public health', 0.010699620181105733), ('economy', 0.009690203371266111), ('health', 0.009099439634643998), ('support', 0.008803609455014976), ('local', 0.008621252234517493)]",neutral
9,8,58,8_disability_learning_autism_learning disability,"[('disability', 0.032569508128135534), ('learning', 0.030670457784790935), ('autism', 0.027301717880954878), ('learning disability', 0.025208672715160113), ('autistic', 0.023089281843241105), ('work', 0.016414063739611916), ('disabilities', 0.01590834834372309), ('support worker', 0.014557262800054387), ('support', 0.013926327718714625), ('dwp', 0.013760117924548638)]",neutral
10,9,56,9_charity_charities_supporting_donate,"[('charity', 0.023525724700423203), ('charities', 0.01415576365411743), ('supporting', 0.012704066566317933), ('donate', 0.01193967240648863), ('fundraising', 0.009337899938263642), ('please', 0.00924737993944833), ('appreciate', 0.00906155438845834), ('poverty', 0.008954754304866473), ('help', 0.00880563218774481), ('mental health', 0.008784616649732943)]",neutral
11,10,48,10_care_support_able_carersweek,"[('care', 0.019920875490972993), ('support', 0.014592350796900607), ('able', 0.0122522544757713), ('carersweek', 0.011601843654900789), ('contact', 0.01134151278256449), ('carer', 0.010735474048725498), ('care homes', 0.01025561951283969), ('carers', 0.010129998509161435), ('without', 0.009367241183230225), ('hospital', 0.00936429239375589)]",neutral
12,11,48,11_scotland_scottish_health service_snp,"[('scotland', 0.03932918097562352), ('scottish', 0.026490590404801836), ('health service', 0.020532731292187467), ('snp', 0.019209722277332433), ('service', 0.01876115864727687), ('england', 0.015254502392220206), ('service scotland', 0.014904010022341915), ('health service scotland', 0.014904010022341915), ('health', 0.013541165856498878), ('scottish health', 0.012123503083165876)]",neutral
13,12,44,12_vacancy_apply wearesun_wearesun_graduate vacancy,"[('vacancy', 0.037631864834613275), ('apply wearesun', 0.03742943908642937), ('wearesun', 0.03742943908642937), ('graduate vacancy', 0.03742943908642937), ('apply', 0.0370037171079123), ('graduate', 0.03583719331074776), ('wearesun graduate vacancy', 0.02677589568280335), ('wearesun graduate', 0.02677589568280335), ('apply wearesun graduate', 0.02677589568280335), ('worker', 0.026566737753665852)]",neutral
14,13,43,13_alzheimers_dementia_opportunity_commercial job derbyshire,"[('alzheimers', 0.05187306149023127), ('dementia', 0.05115934671789943), ('opportunity', 0.04879822642823322), ('commercial job derbyshire', 0.04843959185308195), ('job derbyshire', 0.04843959185308195), ('job derbyshire care', 0.04843959185308195), ('derbyshire care', 0.04843959185308195), ('derbyshire care opportunity', 0.04843959185308195), ('care opportunity', 0.04843959185308195), ('derbyshire', 0.0476391772746123)]",neutral
