,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,13555,-1_health_mental_support_mental health,"[('health', 0.002124722885657582), ('mental', 0.00201968764791019), ('support', 0.0020083193560715916), ('mental health', 0.001983376069675762), ('amp', 0.0018442250088219088), ('people', 0.0017116259987944326), ('supporting', 0.0016579770500465508), ('work', 0.0015665073980259657), ('care', 0.00152173274236459), ('great', 0.00149053304085414)]",positive
1,0,2041,0_nurses_nurse_mental health_health service,"[('nurses', 0.004350607486177687), ('nurse', 0.003169261673009986), ('mental health', 0.0030444188064372487), ('health service', 0.003030596135146897), ('mental', 0.0029864768673207895), ('health', 0.002830897962593662), ('service', 0.0028153507801701775), ('dementia', 0.002308979971998206), ('support', 0.002250526444348758), ('services', 0.002238083499241619)]",positive
2,1,682,1_amp_amp support_support amp_health amp,"[('amp', 0.010236574136360999), ('amp support', 0.005610315708175794), ('support amp', 0.0032233959932984856), ('health amp', 0.002536433717043731), ('care amp', 0.0024918072675317385), ('safe', 0.0022346208426754026), ('mental', 0.002065880042352878), ('mental health', 0.002003058105237506), ('mental health amp', 0.0019492020134141963), ('covid', 0.0018481538815662809)]",positive
3,2,465,2_wellbeing_health wellbeing_amp wellbeing_health amp wellbeing,"[('wellbeing', 0.011550708270919282), ('health wellbeing', 0.008961342875191692), ('amp wellbeing', 0.005512977612096489), ('health amp wellbeing', 0.005023894467960201), ('support health', 0.003913320670519219), ('health', 0.0039047811752609303), ('health amp', 0.0037157271790569917), ('inequalities', 0.003137190068135674), ('support health wellbeing', 0.0031302367079091547), ('wellbeing support', 0.0030936699398459817)]",positive
4,3,432,3_fundraising_donate_charity_raise,"[('fundraising', 0.008939635582241125), ('donate', 0.00825397825127756), ('charity', 0.008057308066831878), ('raise', 0.008024316375746453), ('money', 0.006671629242247344), ('funds', 0.006020324442783262), ('raised', 0.0053442663878983014), ('miles', 0.005335389135175557), ('raise money', 0.005211481790489333), ('please donate', 0.0043864586194839825)]",positive
5,4,356,4_young_young people_youth_people,"[('young', 0.017681197324508784), ('young people', 0.01603087710973463), ('youth', 0.011681395839873864), ('people', 0.007566023281926639), ('support young', 0.006640512037763111), ('young peoples', 0.005399954024908196), ('support young people', 0.004737230482562666), ('children', 0.004273875119332784), ('peoples', 0.004208751841343013), ('youth work', 0.004112129437380466)]",positive
6,5,331,5_christmas_new year_year_2021,"[('christmas', 0.01726189517431702), ('new year', 0.01438793132463693), ('year', 0.0137046548063424), ('2021', 0.011589851439161959), ('happiness', 0.011386750426721236), ('happy new year', 0.009986298306236265), ('happy new', 0.009926112574256218), ('wishing', 0.008440415879417606), ('2020', 0.008277817770742655), ('happy', 0.00784628119953459)]",positive
7,6,292,6_teachers_school_children_schools,"[('teachers', 0.01478388140943127), ('school', 0.012637998480846908), ('children', 0.010143958801821014), ('schools', 0.00968564638824429), ('key', 0.00848012964588097), ('key worker', 0.008114425528506906), ('parents', 0.006873691855473268), ('learning', 0.005453657375986824), ('key workers', 0.005408550284885876), ('pupils', 0.005032943078752933)]",positive
8,7,282,7_vaccination_vaccine_whove_covid19 vaccination,"[('vaccination', 0.01721813461079238), ('vaccine', 0.0155524349680361), ('whove', 0.00921982449124795), ('covid19 vaccination', 0.008949515644352363), ('vaccination programme', 0.007016037881315484), ('staff volunteers', 0.0069241910581883115), ('virus', 0.006834534580849705), ('jab', 0.00656810492608872), ('covid19 vaccination programme', 0.006458051759954077), ('whove supported covid19', 0.006217528884034527)]",positive
9,8,276,8_love_good morning_ampstay_love ampsupport,"[('love', 0.03696236257288828), ('good morning', 0.03389576873938471), ('ampstay', 0.03305949871337261), ('love ampsupport', 0.0329948961060542), ('ampsupport', 0.03286477563824901), ('ampstay safe', 0.03242155489576675), ('care ampstay safe', 0.030885897272223625), ('care ampstay', 0.030844166811104717), ('bhavna', 0.030278157038939203), ('morning bhavna', 0.02941394259988482)]",positive
