,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,279,-1_health_support_amp_services,"[('health', 0.01730372423360712), ('support', 0.013930883903788539), ('amp', 0.010363666292966856), ('services', 0.009950301598768984), ('workers', 0.009365652279472739), ('health services', 0.007675250571266125), ('covid19', 0.007185167961179776), ('care', 0.006998890638713365), ('social', 0.0057723118502359776), ('health care', 0.005636950545750126)]",positive
1,0,156,0_health_support_covid19_africa,"[('health', 0.016893754824891034), ('support', 0.01660284215935399), ('covid19', 0.015466952938500598), ('africa', 0.012116432938198132), ('pandemic', 0.009061937360276422), ('zambia', 0.008197854460643144), ('people', 0.008034511639893115), ('response', 0.0076890851128091865), ('hospital', 0.007538595019053641), ('visit', 0.007043053395304892)]",positive
2,1,105,1_appreciate_love_thank_support,"[('appreciate', 0.028837029768769378), ('love', 0.02521212017475), ('thank', 0.019606285016015107), ('support', 0.0179969769529028), ('appreciate support', 0.013454200868529874), ('love support', 0.010585150975027326), ('happy', 0.00951677624286951), ('birthday', 0.009414427787290805), ('really', 0.00941344359467726), ('always', 0.00941344359467726)]",positive
3,2,97,2_mental_mental health_health_support,"[('mental', 0.053772680090826364), ('mental health', 0.05134185952424287), ('health', 0.024208797622894525), ('support', 0.0198057258939306), ('psychosocial', 0.010412365506219011), ('help', 0.009717789102943257), ('mental health services', 0.009276659717141724), ('psychosocial support', 0.009143806371980107), ('awareness', 0.009068113655203502), ('issues', 0.008381822507648433)]",positive
4,3,53,3_sexual_reproductive_reproductive health_amp,"[('sexual', 0.02809276226916229), ('reproductive', 0.024674999105499345), ('reproductive health', 0.02402701055574397), ('amp', 0.020927260057320454), ('sexual reproductive', 0.019483330496719416), ('sexual reproductive health', 0.019483330496719416), ('youth', 0.016176002913785088), ('health', 0.015759676618486214), ('young', 0.015531064360258402), ('rights', 0.015308331104565252)]",positive
5,4,43,4_imsyser_immune_gut_natural,"[('imsyser', 0.029231893512234066), ('immune', 0.02892376204389515), ('gut', 0.02584734371694379), ('natural', 0.023645426009916176), ('health', 0.02352700298618417), ('gut health', 0.021133422377630624), ('imsyser health', 0.019604933805969536), ('immunity', 0.017871861997686214), ('aloe', 0.01738252509781428), ('product', 0.014893218331405177)]",positive
6,5,38,5_management_training_language_sgbv,"[('management', 0.024859481840395173), ('training', 0.022803410775622736), ('language', 0.02083041513364906), ('sgbv', 0.02083041513364906), ('sign language', 0.02083041513364906), ('happy support', 0.018653815871194426), ('gardens', 0.01822661324194293), ('sign', 0.017871524220610377), ('chitungwiza', 0.017208634637913677), ('nutritional', 0.017208634637913677)]",positive
7,6,36,6_nurses_health services_health service_health,"[('nurses', 0.028316915653290302), ('health services', 0.027911769092341006), ('health service', 0.027063059765527177), ('health', 0.02657039253368893), ('hospitals', 0.025894918244701227), ('service', 0.025742650593900275), ('services', 0.02475829862825603), ('resources', 0.022890259812217838), ('public', 0.02165044781242174), ('drs nurses', 0.021082349895740444)]",positive
8,7,33,7_zimbabwe_sector zimbabwe_services_health services,"[('zimbabwe', 0.060956501981102994), ('sector zimbabwe', 0.02050086793402622), ('services', 0.01989506139770574), ('health services', 0.019438553475023202), ('health', 0.018633781776872756), ('covid19', 0.018197356600095516), ('sector', 0.016817333739588613), ('affordable', 0.015505978927373251), ('health sector zimbabwe', 0.01498019746835736), ('high quality', 0.014456468499936306)]",positive
9,8,29,8_imsyser_imsyser health_health_passionate,"[('imsyser', 0.03895591687965257), ('imsyser health', 0.029793420335831534), ('health', 0.02790733828908385), ('passionate', 0.021025308741640845), ('ultimate healthcare', 0.021025308741640845), ('prevention enhanced', 0.021025308741640845), ('healthier lives', 0.021025308741640845), ('health professionals passionate', 0.021025308741640845), ('enhanced wellbeing provide', 0.021025308741640845), ('team imsyser health', 0.021025308741640845)]",positive
10,9,28,9_hiv_adolescents_training_young,"[('hiv', 0.04712869356482654), ('adolescents', 0.022380460432492384), ('training', 0.020531542136356065), ('young', 0.018527730241166933), ('young people', 0.018365997118304018), ('adolescents young people', 0.0183291986571196), ('adolescents young', 0.0183291986571196), ('prevention', 0.017058011145521905), ('support', 0.016189208468820448), ('health', 0.016100387474471452)]",positive
11,10,28,10_women_amp_services_nutrition,"[('women', 0.025719879069743795), ('amp', 0.025239387904761434), ('services', 0.023686088845142582), ('nutrition', 0.021818446915493474), ('bank', 0.021356415965918654), ('pregnant', 0.02005050730634974), ('health', 0.019719529691430697), ('bank resulted introduction', 0.018789667078287005), ('ambulance services medication', 0.018789667078287005), ('ambulance services', 0.018789667078287005)]",positive
12,11,26,11_quality_quality health_access_access quality,"[('quality', 0.05793385179073952), ('quality health', 0.05586762121567626), ('access', 0.047879892092476777), ('access quality', 0.04539244223773696), ('services', 0.040871376132243314), ('health services', 0.038704825456037005), ('quality health services', 0.038225608920959275), ('nhi', 0.03711475265388235), ('hi', 0.03689963015743884), ('access quality health', 0.03627088674013985)]",positive
13,12,22,12_workers_healthcare workers_must support_support,"[('workers', 0.0371797972893561), ('healthcare workers', 0.0336283633933469), ('must support', 0.03252360214515464), ('support', 0.03203211038529155), ('line', 0.03190995523692251), ('everyday snr', 0.029959128799210106), ('lives times', 0.029959128799210106), ('risking save', 0.029959128799210106), ('lives times health', 0.029959128799210106), ('practioners', 0.029959128799210106)]",positive
